EER = 0.152980 for C = 1.000000e+01, gamma = 1.000000e-06 
EER = 0.209902 for C = 1.000000e+01, gamma = 3.000000e-06 
EER = 0.322898 for C = 1.000000e+01, gamma = 5.000000e-06 
EER = 0.409428 for C = 1.000000e+01, gamma = 7.000000e-06 
EER = 0.458495 for C = 1.000000e+01, gamma = 9.000000e-06 
EER = 0.150904 for C = 1.000000e+01, gamma = 1.000000e-07 
EER = 0.108864 for C = 1.000000e+01, gamma = 3.000000e-07 <- New Best
EER = 0.125220 for C = 1.000000e+01, gamma = 5.000000e-07 
EER = 0.139993 for C = 1.000000e+01, gamma = 7.000000e-07 
EER = 0.149490 for C = 1.000000e+01, gamma = 9.000000e-07 
EER = 0.146148 for C = 1.000000e+01, gamma = 1.000000e-08 
EER = 0.160394 for C = 1.000000e+01, gamma = 3.000000e-08 
EER = 0.173140 for C = 1.000000e+01, gamma = 5.000000e-08 
EER = 0.175343 for C = 1.000000e+01, gamma = 7.000000e-08 
EER = 0.160095 for C = 1.000000e+01, gamma = 9.000000e-08 
EER = 0.210165 for C = 1.000000e+01, gamma = 1.000000e-09 
EER = 0.169012 for C = 1.000000e+01, gamma = 3.000000e-09 
EER = 0.161874 for C = 1.000000e+01, gamma = 5.000000e-09 
EER = 0.159205 for C = 1.000000e+01, gamma = 7.000000e-09 
EER = 0.147028 for C = 1.000000e+01, gamma = 9.000000e-09 
EER = 0.281745 for C = 1.000000e+01, gamma = 1.000000e-10 
EER = 0.246395 for C = 1.000000e+01, gamma = 3.000000e-10 
EER = 0.232434 for C = 1.000000e+01, gamma = 5.000000e-10 
EER = 0.224429 for C = 1.000000e+01, gamma = 7.000000e-10 
EER = 0.216848 for C = 1.000000e+01, gamma = 9.000000e-10 
EER = 0.263278 for C = 1.000000e+01, gamma = 1.000000e-11 
EER = 0.263278 for C = 1.000000e+01, gamma = 3.000000e-11 
EER = 0.269790 for C = 1.000000e+01, gamma = 5.000000e-11 
EER = 0.276905 for C = 1.000000e+01, gamma = 7.000000e-11 
EER = 0.280514 for C = 1.000000e+01, gamma = 9.000000e-11 
EER = 0.152980 for C = 3.000000e+01, gamma = 1.000000e-06 
EER = 0.209902 for C = 3.000000e+01, gamma = 3.000000e-06 
EER = 0.322898 for C = 3.000000e+01, gamma = 5.000000e-06 
EER = 0.409428 for C = 3.000000e+01, gamma = 7.000000e-06 
EER = 0.458495 for C = 3.000000e+01, gamma = 9.000000e-06 
EER = 0.122230 for C = 3.000000e+01, gamma = 1.000000e-07 
EER = 0.102876 for C = 3.000000e+01, gamma = 3.000000e-07 <- New Best
EER = 0.125111 for C = 3.000000e+01, gamma = 5.000000e-07 
EER = 0.139993 for C = 3.000000e+01, gamma = 7.000000e-07 
EER = 0.149490 for C = 3.000000e+01, gamma = 9.000000e-07 
EER = 0.151497 for C = 3.000000e+01, gamma = 1.000000e-08 
EER = 0.189149 for C = 3.000000e+01, gamma = 3.000000e-08 
EER = 0.158316 for C = 3.000000e+01, gamma = 5.000000e-08 
EER = 0.144085 for C = 3.000000e+01, gamma = 7.000000e-08 
EER = 0.127186 for C = 3.000000e+01, gamma = 9.000000e-08 
EER = 0.171064 for C = 3.000000e+01, gamma = 1.000000e-09 
EER = 0.152090 for C = 3.000000e+01, gamma = 3.000000e-09 
EER = 0.149718 for C = 3.000000e+01, gamma = 5.000000e-09 
EER = 0.161273 for C = 3.000000e+01, gamma = 7.000000e-09 
EER = 0.151249 for C = 3.000000e+01, gamma = 9.000000e-09 
EER = 0.246395 for C = 3.000000e+01, gamma = 1.000000e-10 
EER = 0.216721 for C = 3.000000e+01, gamma = 3.000000e-10 
EER = 0.191347 for C = 3.000000e+01, gamma = 5.000000e-10 
EER = 0.184312 for C = 3.000000e+01, gamma = 7.000000e-10 
EER = 0.173436 for C = 3.000000e+01, gamma = 9.000000e-10 
EER = 0.263278 for C = 3.000000e+01, gamma = 1.000000e-11 
