EER = 0.114735 for C = 9.000000e+00, gamma = 9.000000e-10 
EER = 0.199229 for C = 9.000000e+00, gamma = 1.000000e-11 
EER = 0.198933 for C = 9.000000e+00, gamma = 3.000000e-11 
EER = 0.198043 for C = 9.000000e+00, gamma = 5.000000e-11 
EER = 0.190631 for C = 9.000000e+00, gamma = 7.000000e-11 
EER = 0.187074 for C = 9.000000e+00, gamma = 9.000000e-11 
EER = 0.059294 for C = 1.000000e+01, gamma = 1.000000e-06 
EER = 0.124815 for C = 1.000000e+01, gamma = 3.000000e-06 
EER = 0.199229 for C = 1.000000e+01, gamma = 5.000000e-06 
EER = 0.265342 for C = 1.000000e+01, gamma = 7.000000e-06 
EER = 0.300623 for C = 1.000000e+01, gamma = 9.000000e-06 
EER = 0.033501 for C = 1.000000e+01, gamma = 1.000000e-07 
EER = 0.070560 for C = 1.000000e+01, gamma = 3.000000e-07 
EER = 0.068782 for C = 1.000000e+01, gamma = 5.000000e-07 
EER = 0.061370 for C = 1.000000e+01, gamma = 7.000000e-07 
EER = 0.055144 for C = 1.000000e+01, gamma = 9.000000e-07 
EER = 0.016899 for C = 1.000000e+01, gamma = 1.000000e-08 <- New Best
EER = 0.024904 for C = 1.000000e+01, gamma = 3.000000e-08 
EER = 0.028461 for C = 1.000000e+01, gamma = 5.000000e-08 
EER = 0.030833 for C = 1.000000e+01, gamma = 7.000000e-08 
EER = 0.032908 for C = 1.000000e+01, gamma = 9.000000e-08 
EER = 0.104358 for C = 1.000000e+01, gamma = 1.000000e-09 
EER = 0.043581 for C = 1.000000e+01, gamma = 3.000000e-09 
EER = 0.025793 for C = 1.000000e+01, gamma = 5.000000e-09 
EER = 0.019567 for C = 1.000000e+01, gamma = 7.000000e-09 
EER = 0.018381 for C = 1.000000e+01, gamma = 9.000000e-09 
EER = 0.180551 for C = 1.000000e+01, gamma = 1.000000e-10 
EER = 0.153572 for C = 1.000000e+01, gamma = 3.000000e-10 
EER = 0.138156 for C = 1.000000e+01, gamma = 5.000000e-10 
EER = 0.122443 for C = 1.000000e+01, gamma = 7.000000e-10 
EER = 0.109695 for C = 1.000000e+01, gamma = 9.000000e-10 
EER = 0.199229 for C = 1.000000e+01, gamma = 1.000000e-11 
EER = 0.198933 for C = 1.000000e+01, gamma = 3.000000e-11 
EER = 0.196561 for C = 1.000000e+01, gamma = 5.000000e-11 
EER = 0.189446 for C = 1.000000e+01, gamma = 7.000000e-11 
EER = 0.183813 for C = 1.000000e+01, gamma = 9.000000e-11 
EER = 0.051586 for C = 3.000000e+01, gamma = 1.000000e-06 
EER = 0.125704 for C = 3.000000e+01, gamma = 3.000000e-06 
EER = 0.199229 for C = 3.000000e+01, gamma = 5.000000e-06 
EER = 0.265342 for C = 3.000000e+01, gamma = 7.000000e-06 
EER = 0.300623 for C = 3.000000e+01, gamma = 9.000000e-06 
EER = 0.063445 for C = 3.000000e+01, gamma = 1.000000e-07 
EER = 0.055144 for C = 3.000000e+01, gamma = 3.000000e-07 
EER = 0.043878 for C = 3.000000e+01, gamma = 5.000000e-07 
EER = 0.048918 for C = 3.000000e+01, gamma = 7.000000e-07 
EER = 0.049807 for C = 3.000000e+01, gamma = 9.000000e-07 
EER = 0.022828 for C = 3.000000e+01, gamma = 1.000000e-08 
EER = 0.037948 for C = 3.000000e+01, gamma = 3.000000e-08 
EER = 0.042988 for C = 3.000000e+01, gamma = 5.000000e-08 
EER = 0.050697 for C = 3.000000e+01, gamma = 7.000000e-08 
EER = 0.057812 for C = 3.000000e+01, gamma = 9.000000e-08 
EER = 0.043878 for C = 3.000000e+01, gamma = 1.000000e-09 
EER = 0.016899 for C = 3.000000e+01, gamma = 3.000000e-09 
EER = 0.016602 for C = 3.000000e+01, gamma = 5.000000e-09 <- New Best
EER = 0.019271 for C = 3.000000e+01, gamma = 7.000000e-09 
EER = 0.021642 for C = 3.000000e+01, gamma = 9.000000e-09 
EER = 0.153572 for C = 3.000000e+01, gamma = 1.000000e-10 
EER = 0.109695 for C = 3.000000e+01, gamma = 3.000000e-10 
EER = 0.083309 for C = 3.000000e+01, gamma = 5.000000e-10 
EER = 0.064038 for C = 3.000000e+01, gamma = 7.000000e-10 
EER = 0.050697 for C = 3.000000e+01, gamma = 9.000000e-10 
EER = 0.198933 for C = 3.000000e+01, gamma = 1.000000e-11 
EER = 0.184109 for C = 3.000000e+01, gamma = 3.000000e-11 
EER = 0.168396 for C = 3.000000e+01, gamma = 5.000000e-11 
EER = 0.160688 for C = 3.000000e+01, gamma = 7.000000e-11 
EER = 0.155648 for C = 3.000000e+01, gamma = 9.000000e-11 
EER = 0.053958 for C = 5.000000e+01, gamma = 1.000000e-06 
EER = 0.125704 for C = 5.000000e+01, gamma = 3.000000e-06 
EER = 0.199229 for C = 5.000000e+01, gamma = 5.000000e-06 
EER = 0.265342 for C = 5.000000e+01, gamma = 7.000000e-06 
EER = 0.300623 for C = 5.000000e+01, gamma = 9.000000e-06 
EER = 0.088942 for C = 5.000000e+01, gamma = 1.000000e-07 
