EER = 0.369404 for C = 1.000000e+01, gamma = 7.000000e-08 
EER = 0.363475 for C = 1.000000e+01, gamma = 9.000000e-08 
EER = 0.506078 for C = 1.000000e+01, gamma = 1.000000e-09 
EER = 0.518826 for C = 1.000000e+01, gamma = 3.000000e-09 
EER = 0.512897 for C = 1.000000e+01, gamma = 5.000000e-09 
EER = 0.493033 for C = 1.000000e+01, gamma = 7.000000e-09 
EER = 0.479099 for C = 1.000000e+01, gamma = 9.000000e-09 
EER = 0.522977 for C = 1.000000e+01, gamma = 1.000000e-10 
EER = 0.496887 for C = 1.000000e+01, gamma = 3.000000e-10 
EER = 0.496591 for C = 1.000000e+01, gamma = 5.000000e-10 
EER = 0.499555 for C = 1.000000e+01, gamma = 7.000000e-10 
EER = 0.501334 for C = 1.000000e+01, gamma = 9.000000e-10 
EER = 0.530388 for C = 1.000000e+01, gamma = 1.000000e-11 
EER = 0.530388 for C = 1.000000e+01, gamma = 3.000000e-11 
EER = 0.530388 for C = 1.000000e+01, gamma = 5.000000e-11 
EER = 0.529499 for C = 1.000000e+01, gamma = 7.000000e-11 
EER = 0.524162 for C = 1.000000e+01, gamma = 9.000000e-11 
EER = 0.420101 for C = 3.000000e+01, gamma = 1.000000e-06 
EER = 0.530388 for C = 3.000000e+01, gamma = 3.000000e-06 
EER = 0.573080 for C = 3.000000e+01, gamma = 5.000000e-06 
EER = 0.606285 for C = 3.000000e+01, gamma = 7.000000e-06 
EER = 0.638008 for C = 3.000000e+01, gamma = 9.000000e-06 
EER = 0.255262 for C = 3.000000e+01, gamma = 1.000000e-07 
EER = 0.218500 for C = 3.000000e+01, gamma = 3.000000e-07 <- New Best
EER = 0.276905 for C = 3.000000e+01, gamma = 5.000000e-07 
EER = 0.349540 for C = 3.000000e+01, gamma = 7.000000e-07 
EER = 0.403498 for C = 3.000000e+01, gamma = 9.000000e-07 
EER = 0.374444 for C = 3.000000e+01, gamma = 1.000000e-08 
EER = 0.356359 for C = 3.000000e+01, gamma = 3.000000e-08 
EER = 0.296176 for C = 3.000000e+01, gamma = 5.000000e-08 
EER = 0.262674 for C = 3.000000e+01, gamma = 7.000000e-08 
EER = 0.247851 for C = 3.000000e+01, gamma = 9.000000e-08 
EER = 0.518529 for C = 3.000000e+01, gamma = 1.000000e-09 
EER = 0.479099 for C = 3.000000e+01, gamma = 3.000000e-09 
EER = 0.452120 for C = 3.000000e+01, gamma = 5.000000e-09 
EER = 0.408242 for C = 3.000000e+01, gamma = 7.000000e-09 
EER = 0.379484 for C = 3.000000e+01, gamma = 9.000000e-09 
EER = 0.496887 for C = 3.000000e+01, gamma = 1.000000e-10 
EER = 0.501334 for C = 3.000000e+01, gamma = 3.000000e-10 
EER = 0.517344 for C = 3.000000e+01, gamma = 5.000000e-10 
EER = 0.522680 for C = 3.000000e+01, gamma = 7.000000e-10 
EER = 0.520012 for C = 3.000000e+01, gamma = 9.000000e-10 
EER = 0.530388 for C = 3.000000e+01, gamma = 1.000000e-11 
EER = 0.524162 for C = 3.000000e+01, gamma = 3.000000e-11 
EER = 0.513489 for C = 3.000000e+01, gamma = 5.000000e-11 
EER = 0.504595 for C = 3.000000e+01, gamma = 7.000000e-11 
EER = 0.499852 for C = 3.000000e+01, gamma = 9.000000e-11 
EER = 0.412985 for C = 5.000000e+01, gamma = 1.000000e-06 
EER = 0.530388 for C = 5.000000e+01, gamma = 3.000000e-06 
EER = 0.573080 for C = 5.000000e+01, gamma = 5.000000e-06 
EER = 0.606285 for C = 5.000000e+01, gamma = 7.000000e-06 
EER = 0.638008 for C = 5.000000e+01, gamma = 9.000000e-06 
EER = 0.222058 for C = 5.000000e+01, gamma = 1.000000e-07 
EER = 0.228580 for C = 5.000000e+01, gamma = 3.000000e-07 
EER = 0.304180 for C = 5.000000e+01, gamma = 5.000000e-07 
EER = 0.357249 for C = 5.000000e+01, gamma = 7.000000e-07 
EER = 0.396087 for C = 5.000000e+01, gamma = 9.000000e-07 
EER = 0.359917 for C = 5.000000e+01, gamma = 1.000000e-08 
