EER = 0.334124 for C = 9.000000e+00, gamma = 9.000000e-07 
EER = 0.069967 for C = 9.000000e+00, gamma = 1.000000e-08 
EER = 0.168396 for C = 9.000000e+00, gamma = 3.000000e-08 
EER = 0.239253 for C = 9.000000e+00, gamma = 5.000000e-08 
EER = 0.243996 for C = 9.000000e+00, gamma = 7.000000e-08 
EER = 0.241032 for C = 9.000000e+00, gamma = 9.000000e-08 
EER = 0.033798 for C = 9.000000e+00, gamma = 1.000000e-09 
EER = 0.052772 for C = 9.000000e+00, gamma = 3.000000e-09 
EER = 0.059294 for C = 9.000000e+00, gamma = 5.000000e-09 
EER = 0.065817 for C = 9.000000e+00, gamma = 7.000000e-09 
EER = 0.067892 for C = 9.000000e+00, gamma = 9.000000e-09 
EER = 0.064631 for C = 9.000000e+00, gamma = 1.000000e-10 
EER = 0.033501 for C = 9.000000e+00, gamma = 3.000000e-10 
EER = 0.029054 for C = 9.000000e+00, gamma = 5.000000e-10 
EER = 0.030537 for C = 9.000000e+00, gamma = 7.000000e-10 
EER = 0.032612 for C = 9.000000e+00, gamma = 9.000000e-10 
EER = 0.067003 for C = 9.000000e+00, gamma = 1.000000e-11 
EER = 0.067003 for C = 9.000000e+00, gamma = 3.000000e-11 
EER = 0.067003 for C = 9.000000e+00, gamma = 5.000000e-11 
EER = 0.067003 for C = 9.000000e+00, gamma = 7.000000e-11 
EER = 0.066113 for C = 9.000000e+00, gamma = 9.000000e-11 
EER = 0.328194 for C = 1.000000e+01, gamma = 1.000000e-06 
EER = 0.245775 for C = 1.000000e+01, gamma = 3.000000e-06 
EER = 0.226801 for C = 1.000000e+01, gamma = 5.000000e-06 
EER = 0.232434 for C = 1.000000e+01, gamma = 7.000000e-06 
EER = 0.249629 for C = 1.000000e+01, gamma = 9.000000e-06 
EER = 0.240142 for C = 1.000000e+01, gamma = 1.000000e-07 
EER = 0.298547 for C = 1.000000e+01, gamma = 3.000000e-07 
EER = 0.325230 for C = 1.000000e+01, gamma = 5.000000e-07 
EER = 0.334717 for C = 1.000000e+01, gamma = 7.000000e-07 
EER = 0.331159 for C = 1.000000e+01, gamma = 9.000000e-07 
EER = 0.071746 for C = 1.000000e+01, gamma = 1.000000e-08 
EER = 0.168100 for C = 1.000000e+01, gamma = 3.000000e-08 
EER = 0.240439 for C = 1.000000e+01, gamma = 5.000000e-08 
EER = 0.243996 for C = 1.000000e+01, gamma = 7.000000e-08 
EER = 0.236881 for C = 1.000000e+01, gamma = 9.000000e-08 
EER = 0.034094 for C = 1.000000e+01, gamma = 1.000000e-09 
EER = 0.055144 for C = 1.000000e+01, gamma = 3.000000e-09 
EER = 0.061073 for C = 1.000000e+01, gamma = 5.000000e-09 
EER = 0.066706 for C = 1.000000e+01, gamma = 7.000000e-09 
EER = 0.069967 for C = 1.000000e+01, gamma = 9.000000e-09 
EER = 0.061666 for C = 1.000000e+01, gamma = 1.000000e-10 
EER = 0.030537 for C = 1.000000e+01, gamma = 3.000000e-10 
EER = 0.029351 for C = 1.000000e+01, gamma = 5.000000e-10 
EER = 0.031130 for C = 1.000000e+01, gamma = 7.000000e-10 
EER = 0.033798 for C = 1.000000e+01, gamma = 9.000000e-10 
EER = 0.067003 for C = 1.000000e+01, gamma = 1.000000e-11 
EER = 0.067003 for C = 1.000000e+01, gamma = 3.000000e-11 
EER = 0.067003 for C = 1.000000e+01, gamma = 5.000000e-11 
EER = 0.067003 for C = 1.000000e+01, gamma = 7.000000e-11 
EER = 0.064631 for C = 1.000000e+01, gamma = 9.000000e-11 
EER = 0.297658 for C = 3.000000e+01, gamma = 1.000000e-06 
EER = 0.245775 for C = 3.000000e+01, gamma = 3.000000e-06 
EER = 0.226801 for C = 3.000000e+01, gamma = 5.000000e-06 
EER = 0.232434 for C = 3.000000e+01, gamma = 7.000000e-06 
EER = 0.249629 for C = 3.000000e+01, gamma = 9.000000e-06 
EER = 0.201304 for C = 3.000000e+01, gamma = 1.000000e-07 
EER = 0.287281 for C = 3.000000e+01, gamma = 3.000000e-07 
EER = 0.293507 for C = 3.000000e+01, gamma = 5.000000e-07 
EER = 0.296176 for C = 3.000000e+01, gamma = 7.000000e-07 
EER = 0.294990 for C = 3.000000e+01, gamma = 9.000000e-07 
EER = 0.141714 for C = 3.000000e+01, gamma = 1.000000e-08 
EER = 0.168989 for C = 3.000000e+01, gamma = 3.000000e-08 
EER = 0.191224 for C = 3.000000e+01, gamma = 5.000000e-08 
EER = 0.191521 for C = 3.000000e+01, gamma = 7.000000e-08 
EER = 0.194486 for C = 3.000000e+01, gamma = 9.000000e-08 
EER = 0.055144 for C = 3.000000e+01, gamma = 1.000000e-09 
EER = 0.067892 for C = 3.000000e+01, gamma = 3.000000e-09 
EER = 0.073822 for C = 3.000000e+01, gamma = 5.000000e-09 
EER = 0.075897 for C = 3.000000e+01, gamma = 7.000000e-09 
EER = 0.102876 for C = 3.000000e+01, gamma = 9.000000e-09 
EER = 0.030240 for C = 3.000000e+01, gamma = 1.000000e-10 
EER = 0.034391 for C = 3.000000e+01, gamma = 3.000000e-10 
EER = 0.041506 for C = 3.000000e+01, gamma = 5.000000e-10 
EER = 0.048028 for C = 3.000000e+01, gamma = 7.000000e-10 
EER = 0.052476 for C = 3.000000e+01, gamma = 9.000000e-10 
EER = 0.067003 for C = 3.000000e+01, gamma = 1.000000e-11 
EER = 0.064631 for C = 3.000000e+01, gamma = 3.000000e-11 
EER = 0.048621 for C = 3.000000e+01, gamma = 5.000000e-11 
EER = 0.038245 for C = 3.000000e+01, gamma = 7.000000e-11 
EER = 0.033501 for C = 3.000000e+01, gamma = 9.000000e-11 
EER = 0.297658 for C = 5.000000e+01, gamma = 1.000000e-06 
EER = 0.245775 for C = 5.000000e+01, gamma = 3.000000e-06 
EER = 0.226801 for C = 5.000000e+01, gamma = 5.000000e-06 
EER = 0.232434 for C = 5.000000e+01, gamma = 7.000000e-06 
EER = 0.249629 for C = 5.000000e+01, gamma = 9.000000e-06 
EER = 0.194189 for C = 5.000000e+01, gamma = 1.000000e-07 
EER = 0.271272 for C = 5.000000e+01, gamma = 3.000000e-07 
EER = 0.280759 for C = 5.000000e+01, gamma = 5.000000e-07 
EER = 0.287281 for C = 5.000000e+01, gamma = 7.000000e-07 
EER = 0.294990 for C = 5.000000e+01, gamma = 9.000000e-07 
EER = 0.156537 for C = 5.000000e+01, gamma = 1.000000e-08 
EER = 0.189446 for C = 5.000000e+01, gamma = 3.000000e-08 
EER = 0.178476 for C = 5.000000e+01, gamma = 5.000000e-08 
EER = 0.182034 for C = 5.000000e+01, gamma = 7.000000e-08 
EER = 0.186481 for C = 5.000000e+01, gamma = 9.000000e-08 
EER = 0.061073 for C = 5.000000e+01, gamma = 1.000000e-09 
EER = 0.072932 for C = 5.000000e+01, gamma = 3.000000e-09 
EER = 0.076490 for C = 5.000000e+01, gamma = 5.000000e-09 
EER = 0.080047 for C = 5.000000e+01, gamma = 7.000000e-09 
EER = 0.152387 for C = 5.000000e+01, gamma = 9.000000e-09 
EER = 0.029351 for C = 5.000000e+01, gamma = 1.000000e-10 
EER = 0.041506 for C = 5.000000e+01, gamma = 3.000000e-10 
EER = 0.050993 for C = 5.000000e+01, gamma = 5.000000e-10 
EER = 0.056626 for C = 5.000000e+01, gamma = 7.000000e-10 
EER = 0.058998 for C = 5.000000e+01, gamma = 9.000000e-10 
EER = 0.067003 for C = 5.000000e+01, gamma = 1.000000e-11 
EER = 0.048621 for C = 5.000000e+01, gamma = 3.000000e-11 
EER = 0.034687 for C = 5.000000e+01, gamma = 5.000000e-11 
EER = 0.030537 for C = 5.000000e+01, gamma = 7.000000e-11 
EER = 0.029944 for C = 5.000000e+01, gamma = 9.000000e-11 
EER = 0.297658 for C = 7.000000e+01, gamma = 1.000000e-06 
EER = 0.245775 for C = 7.000000e+01, gamma = 3.000000e-06 
EER = 0.226801 for C = 7.000000e+01, gamma = 5.000000e-06 
EER = 0.232434 for C = 7.000000e+01, gamma = 7.000000e-06 
EER = 0.249629 for C = 7.000000e+01, gamma = 9.000000e-06 
EER = 0.187370 for C = 7.000000e+01, gamma = 1.000000e-07 
EER = 0.258227 for C = 7.000000e+01, gamma = 3.000000e-07 
EER = 0.274830 for C = 7.000000e+01, gamma = 5.000000e-07 
EER = 0.287281 for C = 7.000000e+01, gamma = 7.000000e-07 
EER = 0.294990 for C = 7.000000e+01, gamma = 9.000000e-07 
EER = 0.160095 for C = 7.000000e+01, gamma = 1.000000e-08 
EER = 0.176401 for C = 7.000000e+01, gamma = 3.000000e-08 
EER = 0.177587 for C = 7.000000e+01, gamma = 5.000000e-08 
EER = 0.176994 for C = 7.000000e+01, gamma = 7.000000e-08 
EER = 0.183516 for C = 7.000000e+01, gamma = 9.000000e-08 
EER = 0.064927 for C = 7.000000e+01, gamma = 1.000000e-09 
EER = 0.074414 for C = 7.000000e+01, gamma = 3.000000e-09 
EER = 0.076786 for C = 7.000000e+01, gamma = 5.000000e-09 
EER = 0.118292 for C = 7.000000e+01, gamma = 7.000000e-09 
EER = 0.159205 for C = 7.000000e+01, gamma = 9.000000e-09 
EER = 0.030833 for C = 7.000000e+01, gamma = 1.000000e-10 
EER = 0.047436 for C = 7.000000e+01, gamma = 3.000000e-10 
EER = 0.056626 for C = 7.000000e+01, gamma = 5.000000e-10 
EER = 0.061073 for C = 7.000000e+01, gamma = 7.000000e-10 
EER = 0.063741 for C = 7.000000e+01, gamma = 9.000000e-10 
EER = 0.067003 for C = 7.000000e+01, gamma = 1.000000e-11 
EER = 0.038245 for C = 7.000000e+01, gamma = 3.000000e-11 
EER = 0.030537 for C = 7.000000e+01, gamma = 5.000000e-11 
EER = 0.029351 for C = 7.000000e+01, gamma = 7.000000e-11 
EER = 0.030537 for C = 7.000000e+01, gamma = 9.000000e-11 
EER = 0.297658 for C = 9.000000e+01, gamma = 1.000000e-06 
EER = 0.245775 for C = 9.000000e+01, gamma = 3.000000e-06 
EER = 0.226801 for C = 9.000000e+01, gamma = 5.000000e-06 
EER = 0.232434 for C = 9.000000e+01, gamma = 7.000000e-06 
EER = 0.249629 for C = 9.000000e+01, gamma = 9.000000e-06 
EER = 0.181441 for C = 9.000000e+01, gamma = 1.000000e-07 
EER = 0.256152 for C = 9.000000e+01, gamma = 3.000000e-07 
EER = 0.274830 for C = 9.000000e+01, gamma = 5.000000e-07 
EER = 0.287281 for C = 9.000000e+01, gamma = 7.000000e-07 
EER = 0.294990 for C = 9.000000e+01, gamma = 9.000000e-07 
EER = 0.162763 for C = 9.000000e+01, gamma = 1.000000e-08 
EER = 0.173140 for C = 9.000000e+01, gamma = 3.000000e-08 
EER = 0.176994 for C = 9.000000e+01, gamma = 5.000000e-08 
EER = 0.170768 for C = 9.000000e+01, gamma = 7.000000e-08 
EER = 0.178773 for C = 9.000000e+01, gamma = 9.000000e-08 
EER = 0.067003 for C = 9.000000e+01, gamma = 1.000000e-09 
EER = 0.076786 for C = 9.000000e+01, gamma = 3.000000e-09 
EER = 0.075897 for C = 9.000000e+01, gamma = 5.000000e-09 
EER = 0.153572 for C = 9.000000e+01, gamma = 7.000000e-09 
EER = 0.161874 for C = 9.000000e+01, gamma = 9.000000e-09 
EER = 0.034391 for C = 9.000000e+01, gamma = 1.000000e-10 
EER = 0.052476 for C = 9.000000e+01, gamma = 3.000000e-10 
EER = 0.058998 for C = 9.000000e+01, gamma = 5.000000e-10 
EER = 0.064038 for C = 9.000000e+01, gamma = 7.000000e-10 
