EER = 0.376539 for C = 7.000000e+01, gamma = 9.000000e-07 
EER = 0.165431 for C = 7.000000e+01, gamma = 1.000000e-08 
EER = 0.236370 for C = 7.000000e+01, gamma = 3.000000e-08 
EER = 0.322898 for C = 7.000000e+01, gamma = 5.000000e-08 
EER = 0.370032 for C = 7.000000e+01, gamma = 7.000000e-08 
EER = 0.398699 for C = 7.000000e+01, gamma = 9.000000e-08 
EER = 0.033798 for C = 7.000000e+01, gamma = 1.000000e-09 
EER = 0.068765 for C = 7.000000e+01, gamma = 3.000000e-09 
EER = 0.125923 for C = 7.000000e+01, gamma = 5.000000e-09 
EER = 0.151600 for C = 7.000000e+01, gamma = 7.000000e-09 
EER = 0.160391 for C = 7.000000e+01, gamma = 9.000000e-09 
EER = 0.042099 for C = 7.000000e+01, gamma = 1.000000e-10 
EER = 0.030953 for C = 7.000000e+01, gamma = 3.000000e-10 
EER = 0.028758 for C = 7.000000e+01, gamma = 5.000000e-10 <- New Best
EER = 0.031657 for C = 7.000000e+01, gamma = 7.000000e-10 
EER = 0.033240 for C = 7.000000e+01, gamma = 9.000000e-10 
EER = 0.044847 for C = 7.000000e+01, gamma = 1.000000e-11 
EER = 0.044847 for C = 7.000000e+01, gamma = 3.000000e-11 
EER = 0.044847 for C = 7.000000e+01, gamma = 5.000000e-11 
EER = 0.044847 for C = 7.000000e+01, gamma = 7.000000e-11 
EER = 0.043616 for C = 7.000000e+01, gamma = 9.000000e-11 
EER = 0.364364 for C = 9.000000e+01, gamma = 1.000000e-06 
EER = 0.302698 for C = 9.000000e+01, gamma = 3.000000e-06 
EER = 0.239846 for C = 9.000000e+01, gamma = 5.000000e-06 
EER = 0.199229 for C = 9.000000e+01, gamma = 7.000000e-06 
EER = 0.179069 for C = 9.000000e+01, gamma = 9.000000e-06 
EER = 0.409075 for C = 9.000000e+01, gamma = 1.000000e-07 
EER = 0.428106 for C = 9.000000e+01, gamma = 3.000000e-07 
EER = 0.424024 for C = 9.000000e+01, gamma = 5.000000e-07 
EER = 0.407945 for C = 9.000000e+01, gamma = 7.000000e-07 
EER = 0.376539 for C = 9.000000e+01, gamma = 9.000000e-07 
EER = 0.188260 for C = 9.000000e+01, gamma = 1.000000e-08 
EER = 0.264509 for C = 9.000000e+01, gamma = 3.000000e-08 
